Group,x,y,t,s
U,-6.408998637,-55.37396879,1,0
U,32.07077347,-574.5590516,1,1
S,-15.33406219,-47.71667036,0,0
R,-29.58865131,195.1446375,0,0
U,-48.19687064,69.00546841,0,0
S,5.11467041,-157.8896242,0,0
R,-28.40693589,-29.87072029,0,0
U,-22.82892486,-176.756117,0,1
U,-49.84337915,17.44181713,0,1
S,4.842249997,-299.3150725,0,1
U,36.35913508,-470.0189578,1,1
U,-26.83459947,-95.1294282,1,1
U,-15.59900585,-329.2492309,1,0
U,25.89965801,-476.1858314,1,1
R,-11.81278803,-36.54823379,0,0
S,-10.18037014,-285.5436841,0,1
T,-12.66724028,-148.2237654,0,0
T,-19.02013401,-339.9069058,0,0
S,-13.70132696,-314.9993861,0,1
U,-8.063668285,-112.5486877,1,1
S,-13.22156628,80.74716336,1,0
S,-5.945166418,-234.1029769,0,0
S,-4.857975809,-255.2273624,0,1
S,6.446143709,-25.64304655,0,0
T,-2.388392567,-131.7174756,0,0
T,-9.850520795,-316.0724177,0,1
S,17.75159566,86.91583414,0,0
T,-28.87527818,-26.79058744,0,0
R,-24.15562522,61.44181906,0,0
U,-16.4127389,-96.27860914,1,0
U,25.41093883,-605.879156,1,0
R,20.16375835,148.9148254,0,0
U,-91.3045062,182.738235,1,1
T,-22.64136198,-232.6582498,0,0
U,-60.154851,-62.24164678,1,0
S,-20.60297116,-48.02297982,0,0
T,-6.270776356,-342.5565048,0,0
T,-28.46517769,-13.2129657,0,0
U,-13.87332716,1.392443934,0,0
S,-9.723977418,-293.5944355,0,1
R,7.70832996,140.3311406,0,1
T,-23.71436035,41.82532037,0,0
U,10.0780631,-351.07126,1,1
U,-56.3800662,161.4888738,1,0
R,-2.654619946,53.76520218,0,0
T,-35.53699462,74.15793738,0,0
U,-22.34220596,14.94478878,0,0
T,-26.50313686,-163.0519284,0,1
T,-17.56413268,-9.258056722,0,0
T,-23.51012654,-185.0744105,0,0
T,-36.30484553,-350.1502264,0,1
T,-0.150172562,-450.8560397,0,1
R,-4.697564701,59.97887749,0,1
U,-50.42522888,254.8440895,1,1
T,-21.2025581,-22.90664574,0,0
U,-9.948623165,-561.7738709,1,1
R,-15.73189291,306.8259939,0,0
S,3.244841564,-35.90169183,0,0
R,-14.45523478,466.3098121,0,0
U,12.55730717,-365.9942918,0,0
R,-39.34574794,516.477619,0,1
T,-12.86059915,-257.373125,0,1
T,-19.78694179,-323.968206,0,0
S,27.10848316,-291.5713917,0,0
R,3.42718057,146.4682559,0,0
T,-8.385867923,-373.8296631,0,1
S,-15.4144797,58.7617685,0,1
S,-31.37707525,233.3822399,0,1
R,-0.081161723,167.9125246,0,0
S,-17.55803668,-28.90337906,0,0
S,-21.29541365,-26.91538422,0,0
T,-9.188677936,-223.8133106,0,0
U,-10.03698086,-143.6384247,0,0
T,-28.25074739,-108.3881934,0,0
T,-20.96085997,-109.2522241,0,0
S,-0.795782253,-168.036867,0,0
R,-0.802054346,184.2772697,0,1
U,-4.816399217,73.80774925,1,0
U,2.430342714,-113.3207759,1,1
U,-44.39156441,-240.0985647,1,1
R,-2.062297562,240.7221225,0,0
U,-44.06247411,112.5849283,1,0
U,-17.43092169,71.89100779,1,1
U,-46.35228993,122.5209086,1,1
R,6.561181987,263.7811605,0,1
T,-1.896385311,-170.8853175,0,1
T,-3.533253029,-76.75686018,0,0
S,21.450739,-355.290799,0,1
S,26.275408,-386.211014,0,0
R,-1.824768817,152.087303,0,0
T,-15.21765613,-172.0598113,0,1
T,0.800461399,-247.0889767,0,0
T,-13.5205783,-149.8227401,0,1
U,26.47805343,-428.1397159,1,0
T,-8.854183054,61.96289389,0,0
T,11.74658453,-180.1150577,0,0
T,-29.76705654,-190.3550251,0,0
U,18.17284575,-567.5114905,1,1
T,-7.924936555,-71.9813574,0,1
U,-9.43556289,-167.9993544,0,1
U,-5.270927041,-195.9131992,1,0
R,-21.87352939,142.9909593,0,1
U,3.539119012,-353.9810116,1,1
R,-20.65665671,261.7790746,0,1
S,-59.32421233,209.5521025,0,1
T,-23.46641557,-302.1790998,0,0
T,12.93143876,-96.69667317,0,0
U,2.112101436,-315.1592017,1,1
R,-16.13502726,192.1541206,0,0
U,-11.91183788,-359.308005,0,0
R,-40.20168263,504.6357688,0,1
T,-13.27880154,-342.0881386,0,0
T,-25.5651879,-57.91023398,0,1
T,-15.45972034,-370.3760436,0,0
S,-51.70851669,70.61802947,0,1
T,-31.84768367,-299.4515379,0,1
U,-23.95001526,-363.6314063,0,0
R,-4.375895287,117.3369627,0,1
U,7.421336803,-522.0037235,1,0
S,-1.151005069,-107.4280685,0,0
U,-16.58426592,-163.9011629,0,1
T,-21.81289348,-140.2694756,0,0
U,-74.86216859,404.1576987,1,1
S,13.46608511,-271.8893874,0,1
U,-41.54480445,-99.08324931,1,1
R,9.133368625,468.5677772,0,1
T,-2.976491854,-112.2947308,0,1
U,8.775638646,-319.0090029,1,1
U,12.36091577,-377.7201101,1,1
T,-30.50230543,-350.9890445,0,0
S,-39.77314883,126.4407936,0,0
S,14.13843071,-418.9705571,0,1
R,11.92057208,134.3525965,0,0
T,-2.059087125,-376.6777892,0,0
S,40.67454901,-309.7777205,0,1
S,13.20673494,-103.2842321,0,0
U,36.00617453,-431.8017818,1,1
S,35.97251044,-436.3027953,0,0
S,-29.42141613,-13.96621953,0,0
U,0.497574678,-305.9508659,1,1
R,-21.98816048,101.0846795,0,1
U,-24.63839506,-70.84417517,1,0
S,-25.42144708,-178.5011819,0,0
U,-50.10942119,217.8786075,1,1
S,-34.57928694,205.3865309,0,1
S,-16.6758203,59.16103676,0,1
T,-1.2390272,-249.5310068,0,1
U,-33.4579624,-6.799275618,1,1
T,1.613774139,-5.747652394,0,1
T,-20.5177515,-151.2969094,0,1
U,-34.66700016,18.35434416,1,0
S,15.70133447,-223.8567806,0,0
R,-14.20839445,276.8897677,0,1
U,-8.795407133,-165.5199495,1,0
S,-63.063126,274.9897342,0,1
T,-16.03808946,-190.3592867,0,1
U,16.28659402,-369.3537748,0,0
U,-60.44515799,206.7315697,0,0
U,-50.96604268,302.1083403,0,1
S,-7.509036642,-192.058559,0,1
R,-17.61653893,499.5282177,0,0
U,4.538394226,-397.4657497,1,1
S,-2.188004194,-68.23418495,0,0
T,-21.88476634,-117.4851988,0,0
R,-5.452291933,370.3667015,0,0
T,-18.97341746,-251.0076103,0,0
U,44.88319378,-647.1776881,1,1
R,-0.499543112,-76.53660161,0,0
S,46.4577148,-381.4975594,0,0
R,-5.070247167,300.4062275,0,1
R,4.119795753,308.6101297,0,1
R,-23.36303015,160.5867326,0,0
R,-11.48837536,156.2797153,0,1
S,29.72221229,-396.3760992,0,0
S,-26.03952451,-121.1287736,0,0
S,14.43664212,-287.0120762,0,0
R,-27.62432847,284.622668,0,0
T,-21.88156975,-168.6857083,0,0
U,5.710988478,-279.8053134,1,1
S,1.245609993,-233.1757947,0,0
T,-14.9370419,-348.8419355,0,1
S,-9.414345002,-210.1039621,0,1
R,11.5624435,101.9035987,0,0
U,-58.03228171,97.12495922,1,1
S,6.067863094,-37.82950674,0,1
U,-34.60977756,-14.4915032,1,0
R,-5.26449561,149.7532132,0,0
R,-9.746032551,291.3856871,0,1
R,-6.168760907,83.1126379,0,1
T,-19.63896679,-37.77392422,0,1
T,-19.29496786,-377.3423464,0,0
S,-29.3085141,37.98000082,0,0
T,-2.64724721,-227.5680673,0,0
S,-28.01781851,-145.8757035,0,1
R,-32.08602262,58.8030118,0,0
T,-34.01182806,-159.1133949,0,0
S,45.7278257,-166.1303642,1,1
T,-10.32137587,-330.1472649,0,1
U,5.138142085,-236.306228,1,1
T,-41.05464576,-373.4167294,0,0
S,19.45613487,-342.7947566,0,0
R,0.2300152,294.1607155,0,1
R,-7.193043045,203.7860672,0,1
U,-18.48733512,-217.7516725,1,1
U,-8.235808338,-159.3370531,1,1
U,-17.47193193,-407.2760684,1,0
U,-32.73125494,-184.9432614,1,0
S,-27.75599335,-236.9709155,0,1
R,-12.07321622,265.0935906,0,0
T,-35.8777628,-355.7670577,0,1
T,-9.346793608,-463.2048375,0,0
T,-7.493287198,-200.0125199,0,1
R,-20.97545923,227.8059021,0,0
T,-0.688228956,-137.4940957,0,1
R,-10.93267464,311.1525017,0,0
R,4.560038705,249.0774812,0,1
S,-30.59218304,76.50114282,0,1
U,11.72202997,-248.9509413,1,1
S,-2.020777216,-243.9018708,0,0
T,-20.28932691,-345.0972111,0,0
T,-13.49749819,-543.9130522,0,0
T,-21.52911822,-330.5393743,0,0
R,18.12821168,260.9812389,0,1
T,-15.56751906,-120.9011894,0,1
U,-21.84260126,-95.10010107,1,0
U,-27.69677234,-70.3386016,1,0
S,-14.49502609,187.264192,0,0
R,-14.57166544,329.2257437,0,0
S,-10.3052241,-156.0896827,0,1
R,-32.3124628,306.1531912,1,1
U,2.135396756,-404.2019272,0,0
U,4.032303378,-583.3742029,0,0
U,-34.89770375,169.9779341,0,1
U,-67.25574921,348.8819823,1,0
T,-33.74944634,-382.6088476,0,0
T,3.48714497,-301.1712308,0,0
U,1.209142322,-384.1789525,0,1
T,7.35802045,-228.1942716,0,1
R,-27.22787176,222.3578039,0,1
S,-11.43933547,36.95084906,0,1
T,-21.9780086,-41.4812729,0,1
U,-12.18426563,-421.2357143,1,1
R,-1.60494396,-23.75250787,0,0
S,-1.981782246,-38.49145052,0,1
U,-13.0264617,-123.2511262,1,0
T,-24.47879951,-12.29945952,0,1
T,-26.36187135,-96.57690454,0,0
R,0.760627549,212.5611783,0,0
R,0.318805606,219.4821103,0,0
S,-4.348617886,-205.6215175,0,1
T,-24.74031289,-289.799715,0,0
S,-32.26535608,-175.3163829,0,0
U,-25.85613244,-10.97567864,1,1
U,-71.03250356,252.733527,0,1
S,-30.86054043,36.81888182,0,1
T,-8.912899742,-178.4624783,0,0
U,-7.33533288,-327.9576462,1,0
R,13.09939761,155.6906771,0,1
S,-23.84942904,29.49140134,0,1
S,-13.90933164,174.7266909,0,0
S,-10.45557902,-149.8096286,0,0
S,-6.962634291,-221.0092782,0,0
S,-5.790905797,12.10128366,0,0
S,8.670124757,-0.374364968,0,1
U,17.85581209,-570.9251387,1,1
R,6.249523608,404.8436018,0,1
U,-50.6416541,-9.275766495,1,1
U,-17.09097569,-235.6678853,1,1
U,-24.88450843,32.2118183,1,1
R,-25.0957924,157.3291502,0,1
U,-38.42453704,132.194293,1,1
T,-3.293026689,-74.82195339,0,1
R,1.918420002,247.9687621,0,0
R,-9.236443206,109.8504658,0,0
T,-13.71384789,-491.7052644,0,0
S,-1.582015624,-111.7187344,0,1
U,-19.85431467,-16.58487789,1,0
U,-15.5393358,-144.8886705,1,0
S,-7.362150355,-162.1639902,0,1
U,-24.84245934,-233.573714,1,0
T,-31.71853895,-355.7929811,0,1
S,-5.977961888,-123.1829563,0,0
R,-40.74818782,28.13510078,0,0
U,-29.51009599,182.419761,1,1
R,-7.169449287,204.7906411,0,0
R,-32.26860362,107.1641711,0,1
S,-11.21498012,-215.8528322,0,0
U,-6.737644203,17.71182775,1,0
S,0.787259506,-176.2361846,0,1
U,-52.55496254,48.52784018,0,0
T,-6.399246191,-267.1999098,0,0
T,-9.629721994,-408.4220089,0,1
R,-21.21742831,-96.5343655,0,0
U,-22.78904494,-200.1343786,1,1
R,4.265554158,-69.76998824,0,0
R,-7.320180699,173.5810732,0,1
S,-23.56023516,-170.256719,0,0
S,4.792263355,-140.6198097,0,1
T,-11.48517084,-212.5259816,0,1
U,32.30475969,-705.7996959,1,1
U,35.04326547,-417.9118915,0,1
T,-17.38497064,-435.6386886,0,0
R,-24.94490151,-11.54141433,0,1
S,-0.563977636,-219.0128748,0,1
U,-11.18073329,13.89095032,0,1
R,-30.25706231,177.0363359,0,1
U,-6.209646218,147.8746182,1,1
R,-40.86432913,433.5626862,0,0
S,-21.80983586,236.7505703,0,1
T,-5.469356417,-148.2829058,0,0
R,-25.75616021,201.4758943,0,1
R,29.70147124,252.6679178,0,0
S,11.96788701,-214.6025018,0,0
R,-31.74728558,527.8904038,0,0
S,-19.11051981,226.9433684,0,0
R,-33.03621928,-17.47321649,0,0
S,-0.094228057,-0.75973145,0,0
T,-16.4328626,-172.8653067,0,1
U,-12.93019553,67.36050326,1,0
R,-10.62188025,301.2212603,0,1
U,-40.85948043,72.16672103,0,1
T,-22.21227034,-429.2640635,0,1
R,-20.04540015,233.3859205,0,1
R,0.744282192,112.738888,0,0
U,-16.31297577,67.51641105,0,0
U,-4.183623083,-267.5671533,1,0
U,9.182404374,-308.8534777,0,1
U,-41.9998853,29.85592769,0,0
T,-9.534310978,51.87836713,0,0
U,-33.4028889,57.02898565,1,0
U,-31.59131849,53.69502867,1,0
S,-15.49362213,-60.84628226,0,0
S,-31.67111327,144.5741776,0,0
U,-48.77316615,259.1603072,1,0
S,-20.2054881,-105.6201194,0,1
T,-11.05294964,-265.5266348,0,1
T,-14.85907636,-121.738013,0,0
T,-24.69957315,-198.069283,0,0
T,-4.189529132,-256.6482123,0,0
S,-16.83995991,-238.9353438,0,0
U,-13.18561556,-442.2375906,1,1
S,3.298195133,-214.2643929,0,1
T,-27.4167038,-303.8077371,0,0
T,7.478879807,86.01285482,0,1
R,-18.00846744,203.0263304,0,0
S,-14.59245094,-158.1922315,0,0
T,-12.41402939,-357.0274482,0,1
S,8.459536907,-426.8223353,0,0
U,-23.25245802,-255.9077612,1,0
S,-2.822872815,-166.9548451,0,0
R,19.69411477,152.5285896,0,0
T,-17.53209226,-117.7244941,0,1
S,-13.38090738,-217.2660524,0,1
U,-30.9774166,-278.5682076,1,0
U,-24.94821524,30.48249746,1,0
S,11.39485153,-59.61812821,0,0
T,-37.99955609,-471.0745123,0,0
S,6.538210404,60.61422518,0,0
U,-30.48610939,-55.60115595,1,1
U,-32.37830148,-158.9774517,1,1
U,-74.66262466,297.1405953,1,1
T,-28.97734852,-68.7717925,0,1
U,-11.24454108,-159.6747763,1,0
T,0.734451603,-291.5931579,0,1
U,-28.17173994,-113.2281264,0,1
S,-29.26742343,-101.1740301,1,1
U,-43.15604546,-212.382686,1,1
T,25.62137126,-354.9561533,0,0
U,-12.54725567,-280.0280283,1,1
S,-50.2508714,-78.16186859,0,1
R,-8.786954696,39.33876929,0,0
R,-25.92239164,23.01784669,0,1
S,-27.68950951,164.7543789,0,0
U,-46.63409797,292.7308379,0,1
U,1.870824721,-219.9610746,1,1
R,0.283792871,183.0484481,1,1
T,-13.7885025,-238.0342552,0,0
U,34.71244109,-429.6544095,1,0
U,3.016282295,-161.83734,0,1
R,-6.429875681,364.5608504,0,0
S,-26.56309006,-55.0900037,0,0
S,25.59029883,-339.8922669,0,1
R,-31.95819845,145.2379595,0,1
U,25.28618993,-445.9131178,1,0
R,-7.229429674,173.639497,0,1
T,-14.02950917,-119.6333811,0,1
S,-42.53140116,344.7056542,0,0
S,-34.20022886,-166.7734893,1,1
U,-18.08798538,-187.5415379,1,1
R,-10.98199205,195.3329299,0,1
S,-14.99444094,55.5950848,0,0
S,28.29313592,-132.3590531,0,1
T,-25.48313052,-241.7588311,0,1
S,-38.43506108,141.9485703,0,0
S,-27.62384405,-97.16011743,0,0
S,41.23823515,-473.5939344,0,0
U,-20.80552127,36.46788865,0,1
R,-18.36145949,234.2827119,0,1
R,-19.81087527,192.8289266,0,0
T,-22.66153358,42.61738624,0,1
S,-4.109834877,-166.7587456,0,0
R,-19.16869378,-4.520563827,0,1
U,0.542086076,-399.5959871,1,1
S,-8.979550876,-51.40888282,0,0
U,-10.08329742,-304.8311374,0,0
S,-0.756614949,-31.05471933,0,0
S,-55.42599328,-26.10309602,0,1
T,-25.27724185,-165.8617514,0,1
U,-74.33092308,320.0019652,1,0
R,-10.37278411,349.998587,0,0
S,-5.925808106,-262.7621194,0,1
R,-26.6736745,190.1024602,0,0
T,-22.82053876,-168.7944535,0,1
U,-1.856047347,-344.1925381,0,0
R,-41.97182839,247.3371829,0,1
R,-9.149417216,227.2580777,0,0
S,3.986996979,-146.642086,0,1
T,-9.689257202,-458.6862141,0,0
U,-2.265860163,-386.0585426,1,0
S,2.011707879,47.23133406,0,0
R,-20.43920828,130.895654,0,0
S,-3.405565656,-137.547271,0,1
S,-19.32114332,-185.2424014,0,0
U,-8.344934124,-283.417117,1,1
R,-3.398041717,-167.5298944,0,0
S,-28.06604431,51.08236078,0,1
T,-19.0902749,-193.0631056,0,0
S,-20.59348283,-289.095384,0,0
T,5.588789896,-296.8232521,0,1
U,-34.64098773,196.4186939,1,1
S,-42.27363535,144.0841452,0,0
S,-25.48811711,-67.94679844,0,1
T,-18.94808825,-296.0830915,0,1
U,23.86490641,-221.1065693,1,0
U,35.7635529,-532.9799492,0,0
S,9.10557709,-310.8514967,0,0
T,-15.75724983,-321.580822,0,1
U,-44.52223601,48.0410486,1,1
R,-26.3450649,526.1919171,0,1
S,-2.171672353,-37.46404221,0,0
T,-20.04088747,-152.444192,0,1
T,-2.863061452,-246.0196429,0,1
T,-3.143930952,-37.46535373,0,0
R,-17.52325781,237.1624404,0,1
T,-8.26828107,-199.8563617,0,0
U,-17.23652456,-169.3652649,1,1
R,-11.19354363,-6.482164056,0,0
R,-25.96003925,253.2762585,0,1
T,-29.16254245,-304.1108706,0,1
T,-24.28357838,-164.5612371,0,0
R,-25.06069834,120.4600501,0,0
S,-58.11002092,110.8265009,1,0
R,-14.99479702,255.0901218,0,1
T,-18.34999571,-16.41498045,0,0
U,-4.371518027,-235.8438773,1,1
S,33.94617395,-133.1071981,0,0
R,-24.9269541,-11.98269733,0,0
U,-55.49355176,68.2998015,1,0
R,-13.6237339,205.5394023,0,1
T,-26.69773203,-71.23314269,0,1
R,0.21474038,-55.54091677,0,0
S,-28.78282228,-88.8629868,0,1
T,11.53422703,83.47775416,0,1
U,-4.423599751,-473.5502763,1,1
T,6.020804677,-238.150778,0,0
S,-12.90439907,-27.86977979,0,1
S,-9.604238716,93.57662373,1,0
R,-20.56408564,35.81734075,0,0
T,-10.11372593,-375.9651089,0,1
U,-13.69112873,111.5905594,1,1
T,-40.82129121,-521.0997734,0,1
U,-18.74416917,-350.489192,0,0
S,-2.063674673,-146.4052913,0,1
S,-29.27616111,-221.5896116,0,0
T,-21.60227533,-344.3357073,0,0
U,-76.32982872,212.3067833,0,1
T,15.65243311,-132.0535241,0,0
R,-22.54944185,99.40499979,0,0
R,7.466168002,121.0845844,0,1
T,-40.41535661,-9.13241483,0,1
T,-22.46161103,-330.6259444,0,0
U,19.18067615,-197.0528904,0,0
R,-4.016788705,272.9434479,0,0
S,-40.77348115,-176.0678214,0,1
R,-11.59948885,262.973415,0,1
T,-3.276544584,-237.2640053,0,1
U,-20.35577067,-185.9047873,1,0
R,-10.78570686,94.03540968,0,0
U,-30.40436134,85.36494237,1,0
S,-11.67153313,5.588501231,0,1
R,-36.41394725,124.1706147,0,1
U,-29.57520093,20.7545633,0,1
S,18.11743098,-387.7986008,0,1
S,12.20664648,-159.9095597,0,0
T,-9.689327825,-67.20342025,0,0
R,-47.09256867,400.1613929,0,1
U,-3.766231937,-84.52700864,0,0
U,38.89419262,-524.8703427,1,1
R,-39.11728894,77.59251288,0,0
U,-6.586598159,-248.5292796,0,0
R,0.007110597,130.8438127,0,1
U,-33.71386544,-32.25916771,1,1
T,-29.88302718,-219.8143681,0,1
S,2.779933446,55.2278297,0,1
U,-36.97900018,-50.70688712,0,1
S,-17.76433632,-84.83042265,0,0
U,-39.0611186,116.2752049,0,0
R,18.86955552,222.6198573,0,0
R,5.38688923,87.01093334,0,1
R,-22.87994446,242.4945543,0,0
T,3.316004205,-230.0132559,0,0
R,-26.4174662,47.80792448,0,0
S,23.16067191,-191.2273214,0,1
U,-4.604526847,-324.6520199,1,1
T,-2.537216054,-121.2107125,0,1
U,-31.92745274,97.84233156,1,1
U,-12.00753425,-41.34087595,1,1
T,-7.249840612,18.44216248,0,0
S,30.22726187,-268.4564344,0,1
T,-12.9283594,-45.69179775,0,0
U,-0.215509644,-188.8191566,1,1
T,-10.70510185,-268.2194658,0,0
S,11.73692464,-440.2994902,0,0
S,-2.208969603,-293.5833969,0,0
T,-20.33045791,-292.4433932,0,0
R,-6.733087256,119.0543773,0,0
T,5.118148367,-439.4696882,0,0
R,-28.13286489,40.23561792,0,1
S,24.06143282,-440.1573781,0,0
S,-43.68962519,274.949613,0,1
S,17.56043384,-138.8318399,0,0
R,-29.28656068,267.4485217,0,0
U,-36.43334783,8.394586298,1,0
U,35.70220347,-422.2697135,1,1
T,-12.66696253,-415.171392,0,0
U,-43.83660228,289.5659951,0,1
U,50.1148356,-396.750188,1,1
U,15.61444554,-474.2963673,0,0
S,35.70813129,-195.5641673,0,0
U,12.15342558,-222.984869,1,0
S,-3.715692506,-99.52030988,0,0
S,13.76795324,-103.9665364,0,0
R,7.714858524,93.47929823,0,0
T,-8.371945845,-220.0852274,0,0
T,-0.262742357,-273.9924886,0,1
R,7.040987908,177.7515352,0,1
U,30.16014591,-292.89596,0,1
T,-0.555158461,-310.1208695,0,0
T,-16.56717391,-285.0202558,0,0
U,-4.591423516,-82.59725658,0,0
T,-24.96977848,-153.3320752,0,1
S,9.480303954,-290.6725662,0,1
S,-49.13521711,-22.91247196,0,0
R,-16.04757735,193.422301,0,0
R,-11.48500577,181.8866742,0,0
R,-27.19955935,-69.50539419,0,0
R,-6.205185012,166.2256653,0,0
R,-32.27056113,373.9580118,0,0
U,-59.58626191,157.5727138,1,0
S,-2.924495585,-101.6506276,0,0
R,12.51701513,232.7450566,0,1
S,-6.516793732,-143.2261542,0,0
U,12.5424894,-334.1751036,1,1
T,-29.10959243,-260.3281476,0,0
R,-58.04587977,255.855021,0,1
R,-7.195711725,385.532546,0,1
R,-27.16106696,24.07595503,0,1
R,-14.36106158,16.71072205,0,0
T,-30.3766855,-133.4022775,0,0
T,-34.66206806,-271.5016917,0,1
T,-25.84973814,-415.9511805,0,0
S,-26.50927215,51.11282214,0,1
T,-3.082797855,-252.436973,0,0
R,-19.31206149,322.3850346,0,1
T,-18.62485951,-84.7346833,0,1
U,-16.84877999,-268.0649908,0,0
U,-27.6416601,29.39582934,0,0
U,-48.52367811,56.72493106,1,1
U,0.24814082,-376.3385227,1,1
S,25.38938386,-142.1384596,0,0
R,-32.24996208,144.6632415,0,1
U,-16.55177536,-407.6932547,1,0
R,6.149504738,120.0937766,0,1
S,-15.15561459,-180.3659654,0,0
T,-2.715447007,-296.4748234,0,0
S,-41.15612347,138.9019136,0,1
T,-17.41329539,-200.8435734,0,1
S,-0.839391928,-171.5326533,0,0
S,-33.84741085,-49.82642783,0,0
R,4.930266639,37.13186713,0,0
S,15.95151501,-269.1517872,0,1
U,-7.718686333,-261.5485805,1,1
R,-22.35836735,333.7578172,0,0
R,-26.67415895,219.2231274,0,0
T,-9.221580964,-49.47135662,0,0
U,9.166523392,-417.8172664,0,0
T,-13.88788475,-241.2069887,0,1
R,-17.98650411,141.2960825,0,0
R,4.343014653,153.1049113,0,1
S,4.778124828,-157.7324391,0,0
T,-1.504419994,-369.2011308,0,1
S,-16.64253802,-117.5158116,0,1
S,-43.78790317,361.2578896,0,1
U,8.206140377,-407.8880926,0,0
